Territorio,Tipo de territorio,Edad en grandes grupos,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Barcelona,Municipi,<16 años,12.76,12.69,12.53,12.46,12.39,12.32,12.32,12.42,12.44,12.44,12.54,12.60,12.66,12.85,12.98,13.08,13.22,13.32,13.39,13.41,13.45,13.45,13.30,13.13,12.88,12.71,12.54,12.23,11.90
Barcelona,Municipi,16-64 años,66.10,65.88,65.70,65.57,65.66,66.17,66.51,66.69,67.06,67.07,66.80,67.03,67.06,66.61,66.25,66.04,65.67,65.22,64.99,64.97,65.06,65.09,65.44,65.73,66.06,66.00,66.32,66.87,67.28
Barcelona,Municipi,≥65 años,21.14,21.43,21.77,21.97,21.95,21.50,21.17,20.88,20.50,20.49,20.66,20.38,20.28,20.54,20.77,20.88,21.11,21.46,21.62,21.61,21.48,21.45,21.26,21.14,21.06,21.29,21.14,20.90,20.83
Ciutat Vella,Districte,<16 años,10.60,10.92,10.92,10.85,10.56,10.19,9.94,9.99,9.75,9.79,9.76,9.94,10.33,10.90,11.29,11.31,11.35,11.43,11.40,11.34,11.43,11.33,10.81,10.66,10.45,10.53,10.50,10.19,9.72
Ciutat Vella,Districte,16-64 años,61.00,61.37,61.78,62.64,64.80,68.18,70.71,72.00,73.38,74.01,74.15,74.47,74.28,73.41,73.26,73.65,73.83,73.81,74.11,74.49,74.90,75.37,76.47,77.02,77.52,77.34,77.47,78.21,78.91
Ciutat Vella,Districte,≥65 años,28.40,27.71,27.30,26.52,24.65,21.62,19.35,18.01,16.87,16.19,16.09,15.59,15.39,15.69,15.45,15.04,14.82,14.76,14.49,14.16,13.67,13.30,12.71,12.32,12.04,12.13,12.03,11.60,11.37
Eixample,Districte,<16 años,11.69,11.72,11.65,11.69,11.69,11.58,11.53,11.62,11.57,11.45,11.52,11.42,11.33,11.48,11.48,11.49,11.56,11.65,11.67,11.69,11.64,11.61,11.45,11.19,10.90,10.70,10.49,10.22,9.96
Eixample,Districte,16-64 años,63.01,62.95,63.02,63.11,63.45,64.36,64.96,65.35,66.00,66.38,66.20,66.63,66.97,66.67,66.55,66.59,66.48,66.21,66.05,66.06,66.29,66.28,66.60,66.91,67.31,67.35,67.66,68.05,68.32
Eixample,Districte,≥65 años,25.30,25.33,25.33,25.20,24.86,24.06,23.51,23.03,22.43,22.18,22.28,21.95,21.71,21.85,21.97,21.92,21.96,22.14,22.28,22.25,22.07,22.11,21.95,21.89,21.79,21.95,21.85,21.73,21.73
Sants-Montjuïc,Districte,<16 años,13.41,13.31,13.02,12.78,12.54,12.40,12.20,12.31,12.24,12.18,12.20,12.10,12.10,12.27,12.36,12.37,12.45,12.51,12.50,12.48,12.52,12.50,12.37,12.19,11.99,11.80,11.63,11.47,11.16
Sants-Montjuïc,Districte,16-64 años,65.63,65.47,65.41,65.47,65.79,66.46,67.15,67.34,67.82,68.11,67.94,68.53,68.69,68.39,68.18,68.20,67.87,67.41,67.24,67.26,67.28,67.25,67.62,67.92,68.08,67.89,68.08,68.56,69.02
Sants-Montjuïc,Districte,≥65 años,20.95,21.21,21.56,21.75,21.66,21.14,20.65,20.36,19.95,19.71,19.86,19.37,19.21,19.34,19.46,19.43,19.68,20.08,20.26,20.26,20.21,20.26,20.01,19.90,19.93,20.30,20.29,19.98,19.81
Les Corts,Districte,<16 años,14.26,13.97,13.58,13.38,13.27,13.00,12.81,12.66,12.63,12.42,12.43,12.43,12.28,12.39,12.50,12.64,12.86,12.91,13.09,13.29,13.39,13.53,13.44,13.35,13.22,13.30,13.13,12.90,12.67
Les Corts,Districte,16-64 años,68.66,68.57,68.44,68.17,67.89,67.89,67.74,67.67,67.67,67.32,66.68,66.54,66.50,65.70,64.99,64.24,63.42,62.63,62.03,61.40,61.14,60.68,60.59,60.46,60.23,59.88,60.18,60.60,60.77
Les Corts,Districte,≥65 años,17.08,17.47,17.98,18.46,18.84,19.11,19.44,19.67,19.70,20.26,20.89,21.03,21.21,21.91,22.51,23.12,23.71,24.45,24.88,25.31,25.48,25.79,25.97,26.19,26.55,26.82,26.69,26.51,26.56
Sarrià-Sant Gervasi,Districte,<16 años,13.61,13.88,14.25,14.63,14.97,15.28,15.59,15.86,16.11,16.12,16.36,16.45,16.26,16.41,16.51,16.61,16.82,16.86,16.92,16.93,16.97,16.99,16.76,16.52,16.15,15.83,15.68,15.31,15.06
Sarrià-Sant Gervasi,Districte,16-64 años,65.19,64.77,64.30,63.94,63.51,63.42,63.37,63.40,63.50,63.33,62.82,62.90,63.14,62.82,62.43,62.14,61.83,61.59,61.45,61.47,61.62,61.55,61.71,61.96,62.20,62.27,62.50,62.97,63.24
Sarrià-Sant Gervasi,Districte,≥65 años,21.20,21.35,21.45,21.43,21.52,21.30,21.05,20.74,20.38,20.55,20.82,20.66,20.61,20.78,21.05,21.25,21.34,21.55,21.63,21.60,21.40,21.46,21.53,21.52,21.65,21.90,21.82,21.72,21.69
Gràcia,Districte,<16 años,11.91,11.84,11.56,11.44,11.39,11.39,11.44,11.57,11.64,11.56,11.64,11.62,11.66,11.79,11.92,12.03,12.27,12.45,12.59,12.68,12.81,12.82,12.78,12.58,12.41,12.19,11.96,11.66,11.32
Gràcia,Districte,16-64 años,64.52,64.45,64.61,64.62,64.86,65.64,66.01,66.43,66.86,67.06,66.88,67.38,67.72,67.46,67.02,66.85,66.34,65.91,65.60,65.51,65.44,65.48,65.76,65.89,66.19,66.23,66.61,67.19,67.56
Gràcia,Districte,≥65 años,23.57,23.70,23.83,23.94,23.75,22.97,22.55,22.00,21.49,21.38,21.48,21.00,20.62,20.76,21.06,21.12,21.39,21.64,21.81,21.81,21.75,21.70,21.46,21.53,21.40,21.59,21.43,21.15,21.12
Horta-Guinardó,Districte,<16 años,12.35,12.20,12.02,12.00,11.93,11.92,12.03,12.18,12.29,12.38,12.46,12.59,12.63,12.71,12.82,12.95,13.06,13.12,13.12,13.11,13.21,13.16,13.10,13.02,12.82,12.67,12.55,12.25,11.98
Horta-Guinardó,Districte,16-64 años,68.82,68.38,67.87,67.40,67.08,67.00,66.70,66.41,66.40,65.93,65.52,65.51,65.32,64.88,64.34,63.86,63.43,62.95,62.70,62.81,62.93,63.14,63.48,63.83,64.31,64.29,64.81,65.45,65.83
Horta-Guinardó,Districte,≥65 años,18.83,19.43,20.11,20.60,21.00,21.07,21.26,21.41,21.32,21.69,22.02,21.90,22.05,22.41,22.84,23.19,23.52,23.93,24.18,24.08,23.87,23.70,23.42,23.15,22.86,23.04,22.65,22.30,22.19
Nou Barris,Districte,<16 años,12.35,12.17,11.92,11.85,11.82,11.84,12.04,12.23,12.32,12.46,12.52,12.78,13.05,13.24,13.40,13.57,13.76,13.89,13.97,13.96,14.13,14.22,14.17,14.04,13.90,13.73,13.59,13.35,13.04
Nou Barris,Districte,16-64 años,68.45,67.91,67.32,66.75,66.29,66.12,65.71,65.49,65.46,65.06,64.82,64.93,64.74,64.24,63.70,63.34,62.76,62.24,62.09,62.20,62.34,62.60,63.14,63.67,64.08,64.09,64.71,65.40,65.92
Nou Barris,Districte,≥65 años,19.20,19.92,20.76,21.40,21.89,22.04,22.25,22.27,22.23,22.47,22.66,22.30,22.21,22.52,22.90,23.09,23.48,23.88,23.94,23.84,23.53,23.18,22.68,22.30,22.02,22.18,21.70,21.25,21.04
