Territorio,Tipo de territorio,Nacionalidad (España/UE/Resto extranjero),01 ene 1997,01 ene 1998,01 ene 1999,01 ene 2000,01 ene 2001,01 ene 2002,01 ene 2003,01 ene 2004,01 ene 2005,01 ene 2006,01 ene 2007,01 ene 2008,01 ene 2009,01 ene 2010,01 ene 2011,01 ene 2012,01 ene 2013,01 ene 2014,01 ene 2015,01 ene 2016,01 ene 2017,01 ene 2018,01 ene 2019,01 ene 2020,01 ene 2021,01 ene 2022,01 ene 2023,01 ene 2024,01 ene 2025
Barcelona,Municipi,España,1467063,1474740,1465518,1451247,1433986,1435676,1414749,1391575,1372461,1359040,1348056,1341107,1336490,1335882,1335652,1336800,1332044,1330207,1341843,1342637,1336462,1327310,1316842,1305560,1288787,1276405,1268444,1269953,1274498
Barcelona,Municipi,Resto de la Unión Europea,7409,8465,9476,10614,12593,18076,23510,29262,36312,43095,58463,69375,75738,75065,69538,72667,77349,79781,80628,82924,88460,91662,102933,108291,102263,106466,107031,114693,121513
Barcelona,Municipi,Resto del mundo,19108,23713,28721,35401,60317,100725,142611,167345,190065,207381,187430,204228,219375,208498,209227,210194,203258,192273,182024,184647,199976,209740,230366,252447,269026,256886,284672,317863,335732
Barcelona,Municipi,No consta,83,108,125,174,225,949,943,435,499,541,484,468,250,168,172,169,184,189,205,219,239,224,217,232,238,224,288,305,323
Ciutat Vella,Districte,España,76579,77114,75847,74140,72318,71156,69231,67409,65756,64563,63570,62670,61794,61427,60853,60316,58794,57378,57480,56976,56071,54768,53546,52439,51938,51140,50809,51146,52133
Ciutat Vella,Districte,Resto de la Unión Europea,690,891,1047,1348,1771,2728,3735,4769,6071,7458,10324,11905,12963,12268,11195,11912,12882,13448,13750,14203,15142,15300,17206,17371,15682,15510,14747,15396,15797
Ciutat Vella,Districte,Resto del mundo,4996,6293,7633,9020,14890,24537,33552,37648,41191,42254,37830,37157,35232,30948,31501,32106,31609,29852,28908,29165,30921,31959,34959,38405,42013,39343,40856,44581,47342
Ciutat Vella,Districte,No consta,5,8,13,16,24,115,109,60,79,83,68,59,27,21,20,23,26,22,31,29,31,20,22,33,39,35,34,32,39
el Raval,Barri,España,31117,31302,30650,29760,28989,28617,27648,26744,26079,25425,25156,25023,24944,24994,24838,24818,24350,24084,24498,24275,24108,23732,23170,22660,22691,22369,22396,22634,23364
el Raval,Barri,Resto de la Unión Europea,249,309,341,408,509,854,1136,1496,1849,2237,3172,3681,4065,4070,3700,3966,4233,4285,4347,4445,4731,4884,5502,5602,5033,4909,4563,4840,5064
el Raval,Barri,Resto del mundo,2730,3531,4359,5156,8076,12362,16781,17996,19378,20015,17719,18769,18947,18283,19176,20194,20174,19110,18293,18466,19052,18890,19530,19906,20949,19223,18693,19440,21471
el Raval,Barri,No consta,-,-,6,9,10,65,62,21,23,22,14,15,7,9,11,13,14,11,12,10,10,8,8,12,15,19,19,20,18
el Barri Gòtic,Barri,España,12675,12986,13085,13107,12788,12605,12414,12318,12085,11891,11752,11252,10790,10514,10323,10102,9703,9126,9007,8925,8726,8501,8387,8270,8257,8243,8385,8612,8903
el Barri Gòtic,Barri,Resto de la Unión Europea,189,246,308,438,561,835,1149,1467,1949,2383,3396,3721,3915,2978,2709,2672,2829,3081,3079,3208,3392,3377,3846,3891,3436,3505,3281,3402,3415
el Barri Gòtic,Barri,Resto del mundo,699,890,1081,1256,2944,6373,9095,11283,13067,13254,12497,10515,8081,5023,4643,4103,3740,3525,3422,3588,4113,5150,6938,9541,11145,10994,12784,15200,15552
el Barri Gòtic,Barri,No consta,-,5,6,6,8,22,22,21,28,28,18,17,7,5,-,-,-,-,6,8,9,7,9,13,12,6,10,8,8
la Barceloneta,Barri,España,14378,14425,14303,14049,13732,13388,13047,12617,12248,12010,11740,11658,11472,11443,11315,11091,10755,10485,10331,10263,9855,9536,9246,8990,8786,8472,8264,8247,8199
