Territorio,Tipo de territorio,Categoría_Delito,Mes_Año,Tipo_de_Hecho,Cantidad,Mes,Año,Mes_Num
Barcelona,Municipi,Agresiones y abusos sexuales,ene 2011,Hechos contra las personas,20.0,ene,2011,1
Barcelona,Municipi,Agresiones y abusos sexuales,feb 2011,Hechos contra las personas,20.0,feb,2011,2
Barcelona,Municipi,Agresiones y abusos sexuales,mar 2011,Hechos contra las personas,32.0,mar,2011,3
Barcelona,Municipi,Agresiones y abusos sexuales,abr 2011,Hechos contra las personas,29.0,abr,2011,4
Barcelona,Municipi,Agresiones y abusos sexuales,may 2011,Hechos contra las personas,53.0,may,2011,5
Barcelona,Municipi,Agresiones y abusos sexuales,jun 2011,Hechos contra las personas,41.0,jun,2011,6
Barcelona,Municipi,Agresiones y abusos sexuales,jul 2011,Hechos contra las personas,50.0,jul,2011,7
Barcelona,Municipi,Agresiones y abusos sexuales,ago 2011,Hechos contra las personas,33.0,ago,2011,8
Barcelona,Municipi,Agresiones y abusos sexuales,sep 2011,Hechos contra las personas,26.0,sep,2011,9
Barcelona,Municipi,Agresiones y abusos sexuales,oct 2011,Hechos contra las personas,33.0,oct,2011,10
Barcelona,Municipi,Agresiones y abusos sexuales,nov 2011,Hechos contra las personas,32.0,nov,2011,11
Barcelona,Municipi,Agresiones y abusos sexuales,dic 2011,Hechos contra las personas,17.0,dic,2011,12
Barcelona,Municipi,Agresiones y abusos sexuales,ene 2012,Hechos contra las personas,24.0,ene,2012,1
Barcelona,Municipi,Agresiones y abusos sexuales,feb 2012,Hechos contra las personas,29.0,feb,2012,2
Barcelona,Municipi,Agresiones y abusos sexuales,mar 2012,Hechos contra las personas,22.0,mar,2012,3
Barcelona,Municipi,Agresiones y abusos sexuales,abr 2012,Hechos contra las personas,21.0,abr,2012,4
Barcelona,Municipi,Agresiones y abusos sexuales,may 2012,Hechos contra las personas,31.0,may,2012,5
Barcelona,Municipi,Agresiones y abusos sexuales,jun 2012,Hechos contra las personas,32.0,jun,2012,6
Barcelona,Municipi,Agresiones y abusos sexuales,jul 2012,Hechos contra las personas,45.0,jul,2012,7
Barcelona,Municipi,Agresiones y abusos sexuales,ago 2012,Hechos contra las personas,31.0,ago,2012,8
Barcelona,Municipi,Agresiones y abusos sexuales,sep 2012,Hechos contra las personas,31.0,sep,2012,9
Barcelona,Municipi,Agresiones y abusos sexuales,oct 2012,Hechos contra las personas,39.0,oct,2012,10
Barcelona,Municipi,Agresiones y abusos sexuales,nov 2012,Hechos contra las personas,24.0,nov,2012,11
Barcelona,Municipi,Agresiones y abusos sexuales,dic 2012,Hechos contra las personas,37.0,dic,2012,12
Barcelona,Municipi,Agresiones y abusos sexuales,ene 2013,Hechos contra las personas,27.0,ene,2013,1
Barcelona,Municipi,Agresiones y abusos sexuales,feb 2013,Hechos contra las personas,22.0,feb,2013,2
Barcelona,Municipi,Agresiones y abusos sexuales,mar 2013,Hechos contra las personas,31.0,mar,2013,3
Barcelona,Municipi,Agresiones y abusos sexuales,abr 2013,Hechos contra las personas,20.0,abr,2013,4
Barcelona,Municipi,Agresiones y abusos sexuales,may 2013,Hechos contra las personas,39.0,may,2013,5
Barcelona,Municipi,Agresiones y abusos sexuales,jun 2013,Hechos contra las personas,34.0,jun,2013,6
Barcelona,Municipi,Agresiones y abusos sexuales,jul 2013,Hechos contra las personas,41.0,jul,2013,7
Barcelona,Municipi,Agresiones y abusos sexuales,ago 2013,Hechos contra las personas,36.0,ago,2013,8
Barcelona,Municipi,Agresiones y abusos sexuales,sep 2013,Hechos contra las personas,47.0,sep,2013,9
Barcelona,Municipi,Agresiones y abusos sexuales,oct 2013,Hechos contra las personas,30.0,oct,2013,10
Barcelona,Municipi,Agresiones y abusos sexuales,nov 2013,Hechos contra las personas,41.0,nov,2013,11
Barcelona,Municipi,Agresiones y abusos sexuales,dic 2013,Hechos contra las personas,35.0,dic,2013,12
Barcelona,Municipi,Agresiones y abusos sexuales,ene 2014,Hechos contra las personas,30.0,ene,2014,1
Barcelona,Municipi,Agresiones y abusos sexuales,feb 2014,Hechos contra las personas,30.0,feb,2014,2
Barcelona,Municipi,Agresiones y abusos sexuales,mar 2014,Hechos contra las personas,37.0,mar,2014,3
Barcelona,Municipi,Agresiones y abusos sexuales,abr 2014,Hechos contra las personas,32.0,abr,2014,4
Barcelona,Municipi,Agresiones y abusos sexuales,may 2014,Hechos contra las personas,35.0,may,2014,5
Barcelona,Municipi,Agresiones y abusos sexuales,jun 2014,Hechos contra las personas,32.0,jun,2014,6
Barcelona,Municipi,Agresiones y abusos sexuales,jul 2014,Hechos contra las personas,31.0,jul,2014,7
Barcelona,Municipi,Agresiones y abusos sexuales,ago 2014,Hechos contra las personas,40.0,ago,2014,8
Barcelona,Municipi,Agresiones y abusos sexuales,sep 2014,Hechos contra las personas,50.0,sep,2014,9
Barcelona,Municipi,Agresiones y abusos sexuales,oct 2014,Hechos contra las personas,39.0,oct,2014,10
Barcelona,Municipi,Agresiones y abusos sexuales,nov 2014,Hechos contra las personas,26.0,nov,2014,11
Barcelona,Municipi,Agresiones y abusos sexuales,dic 2014,Hechos contra las personas,27.0,dic,2014,12
Barcelona,Municipi,Agresiones y abusos sexuales,ene 2015,Hechos contra las personas,25.0,ene,2015,1
Barcelona,Municipi,Agresiones y abusos sexuales,feb 2015,Hechos contra las personas,28.0,feb,2015,2
Barcelona,Municipi,Agresiones y abusos sexuales,mar 2015,Hechos contra las personas,37.0,mar,2015,3
Barcelona,Municipi,Agresiones y abusos sexuales,abr 2015,Hechos contra las personas,29.0,abr,2015,4
Barcelona,Municipi,Agresiones y abusos sexuales,may 2015,Hechos contra las personas,36.0,may,2015,5
Barcelona,Municipi,Agresiones y abusos sexuales,jun 2015,Hechos contra las personas,43.0,jun,2015,6
Barcelona,Municipi,Agresiones y abusos sexuales,jul 2015,Hechos contra las personas,40.0,jul,2015,7
Barcelona,Municipi,Agresiones y abusos sexuales,ago 2015,Hechos contra las personas,46.0,ago,2015,8
Barcelona,Municipi,Agresiones y abusos sexuales,sep 2015,Hechos contra las personas,52.0,sep,2015,9
Barcelona,Municipi,Agresiones y abusos sexuales,oct 2015,Hechos contra las personas,42.0,oct,2015,10
Barcelona,Municipi,Agresiones y abusos sexuales,nov 2015,Hechos contra las personas,29.0,nov,2015,11
Barcelona,Municipi,Agresiones y abusos sexuales,dic 2015,Hechos contra las personas,37.0,dic,2015,12
Barcelona,Municipi,Agresiones y abusos sexuales,ene 2016,Hechos contra las personas,49.0,ene,2016,1
Barcelona,Municipi,Agresiones y abusos sexuales,feb 2016,Hechos contra las personas,66.0,feb,2016,2
Barcelona,Municipi,Agresiones y abusos sexuales,mar 2016,Hechos contra las personas,49.0,mar,2016,3
Barcelona,Municipi,Agresiones y abusos sexuales,abr 2016,Hechos contra las personas,45.0,abr,2016,4
Barcelona,Municipi,Agresiones y abusos sexuales,may 2016,Hechos contra las personas,50.0,may,2016,5
Barcelona,Municipi,Agresiones y abusos sexuales,jun 2016,Hechos contra las personas,50.0,jun,2016,6
Barcelona,Municipi,Agresiones y abusos sexuales,jul 2016,Hechos contra las personas,62.0,jul,2016,7
Barcelona,Municipi,Agresiones y abusos sexuales,ago 2016,Hechos contra las personas,50.0,ago,2016,8
Barcelona,Municipi,Agresiones y abusos sexuales,sep 2016,Hechos contra las personas,38.0,sep,2016,9
Barcelona,Municipi,Agresiones y abusos sexuales,oct 2016,Hechos contra las personas,44.0,oct,2016,10
Barcelona,Municipi,Agresiones y abusos sexuales,nov 2016,Hechos contra las personas,42.0,nov,2016,11
Barcelona,Municipi,Agresiones y abusos sexuales,dic 2016,Hechos contra las personas,41.0,dic,2016,12
Barcelona,Municipi,Agresiones y abusos sexuales,ene 2017,Hechos contra las personas,24.0,ene,2017,1
Barcelona,Municipi,Agresiones y abusos sexuales,feb 2017,Hechos contra las personas,50.0,feb,2017,2
Barcelona,Municipi,Agresiones y abusos sexuales,mar 2017,Hechos contra las personas,44.0,mar,2017,3
Barcelona,Municipi,Agresiones y abusos sexuales,abr 2017,Hechos contra las personas,39.0,abr,2017,4
Barcelona,Municipi,Agresiones y abusos sexuales,may 2017,Hechos contra las personas,40.0,may,2017,5
Barcelona,Municipi,Agresiones y abusos sexuales,jun 2017,Hechos contra las personas,54.0,jun,2017,6
Barcelona,Municipi,Agresiones y abusos sexuales,jul 2017,Hechos contra las personas,66.0,jul,2017,7
Barcelona,Municipi,Agresiones y abusos sexuales,ago 2017,Hechos contra las personas,39.0,ago,2017,8
Barcelona,Municipi,Agresiones y abusos sexuales,sep 2017,Hechos contra las personas,54.0,sep,2017,9
Barcelona,Municipi,Agresiones y abusos sexuales,oct 2017,Hechos contra las personas,34.0,oct,2017,10
Barcelona,Municipi,Agresiones y abusos sexuales,nov 2017,Hechos contra las personas,53.0,nov,2017,11
Barcelona,Municipi,Agresiones y abusos sexuales,dic 2017,Hechos contra las personas,44.0,dic,2017,12
Barcelona,Municipi,Agresiones y abusos sexuales,ene 2018,Hechos contra las personas,62.0,ene,2018,1
Barcelona,Municipi,Agresiones y abusos sexuales,feb 2018,Hechos contra las personas,33.0,feb,2018,2
Barcelona,Municipi,Agresiones y abusos sexuales,mar 2018,Hechos contra las personas,46.0,mar,2018,3
Barcelona,Municipi,Agresiones y abusos sexuales,abr 2018,Hechos contra las personas,64.0,abr,2018,4
Barcelona,Municipi,Agresiones y abusos sexuales,may 2018,Hechos contra las personas,43.0,may,2018,5
Barcelona,Municipi,Agresiones y abusos sexuales,jun 2018,Hechos contra las personas,67.0,jun,2018,6
